Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,08 mm"
"4,26","18,12","0,7","1,9",,,,
"4,28","18,19","0,7","1,8",,,,
"4,3","18,28","0,7","1,8",,,,
"4,32","18,37","0,7","1,8",,,,
"4,34","18,47","0,7","1,8",,,,
"4,36","18,57","0,7","1,8",,,,
"4,38","18,66","0,7","1,8",,,,
"4,4","18,73","0,7","1,8",,,,
"4,42","18,79","0,7","1,8",,,,
"4,44","18,84","0,7","1,8",,,,
"4,46","18,88","0,7","1,8",,,,
"4,48","18,92","0,7","1,9",,,,
"4,5","18,95","0,7","1,9",,,,
"4,52","18,97","0,7","1,8",,,,
"4,54",19,"0,7","1,8",,,,
"4,56","19,02","0,7","1,9",,,,
"4,58","19,03","0,7","1,8",,,,
"4,6","19,04","0,7","1,8",,,,
"4,62","19,06","0,7","1,8",,,,
"4,64","19,07","0,7","1,8",,,,
"4,66","19,09","0,7","1,9",,,,
"4,68","19,11","0,7","1,8",,,,
"4,7","19,13","0,7","1,9",,,,
"4,72","19,16","0,7","1,9",,,,
"4,74","19,19","0,7","1,8",,,,
"4,76","19,23","0,7","1,9",,,,
"4,78","19,28","0,7","1,9",,,,
"4,8","19,33","0,7","1,8",,,,
"4,82","19,37","0,7","1,8",,,,
"4,84","19,41","0,7","1,8",,,,
"4,86","19,44","0,7","1,9",,,,
"4,88","19,48","0,7","1,8",,,,
"4,9","19,52","0,7","1,9",,,,
"4,92","19,56","0,7","1,8",,,,
"4,94","19,59","0,7","1,8",,,,
"4,96","19,62","0,7","1,8",,,,
"4,98","19,66","0,7","1,8",,,,
5,"19,69","0,7","1,8",,,,
"5,02","19,74","0,7","1,8",,,,
"5,04","19,78","0,7","1,8",,,,
"5,06","19,83","0,7","1,8",,,,
"5,08","19,87","0,7","1,9",,,,
"5,1","19,93","0,7","1,9",,,,
"5,12","19,96","0,7","1,9",,,,
"5,14","20,02","0,7","1,9",,,,
"5,16","20,08","0,7","1,9",,,,
"5,18","20,14","0,7","1,9",,,,
"5,2","20,2","0,7","1,9",,,,
"5,22","20,26","0,8","1,9",,,,
"5,24","20,32","0,8","1,9",,,,
"5,26","20,39","0,8","1,9",,,,
"5,28","20,46","0,8","1,9",,,,
"5,3","20,56","0,8","1,9",,,,
"5,32","20,66","0,7","1,9",,,,
"5,34","20,76","0,7","1,8",,,,
"5,36","20,85","0,7","1,8",,,,
"5,38","20,94","0,7","1,9",,,,
"5,4","21,04","0,7","1,9",,,,
"5,42","21,13","0,7","1,9",,,,
"5,44","21,21","0,8","1,9",,,,
"5,46","21,28","0,8","1,9",,,,
"5,48","21,36","0,8","1,9",,,,
"5,5","21,42","0,8","1,9",,,,
"5,52","21,48","0,8","1,9",,,,
"5,54","21,54","0,8","1,9",,,,
"5,56","21,59","0,8","1,9",,,,
"5,58","21,64","0,8","1,9",,,,
"5,6","21,69","0,8","1,9",,,,
"5,62","21,75","0,8","1,9",,,,
"5,64","21,81","0,8","1,9",,,,
"5,66","21,87","0,7","1,9",,,,
"5,68","21,94","0,7","1,9",,,,
"5,7","22,02","0,7","1,8",,,,
"5,72","22,09","0,7","1,8",,,,
"5,74","22,18","0,7","1,9",,,,
"5,76","22,27","0,7","1,9",,,,
"5,78","22,36","0,8","1,9",,,,
"5,8","22,45","0,8","1,9",,,,
"5,82","22,52","0,8","1,9",,,,
"5,84","22,59","0,8","1,9",,,,
"5,86","22,66","0,8","1,9",,,,
"5,88","22,74","0,8","1,9",,,,
"5,9","22,79","0,8","1,9",,,,
"5,92","22,84","0,8","1,9",,,,
"5,94","22,89","0,8","1,9",,,,
"5,96","22,92","0,8","1,9",,,,
"5,98","22,96","0,7","1,9",,,,
6,"22,99","0,7","1,9",,,,
"6,02","23,02","0,7","1,9",,,,
"6,04","23,05","0,7","1,9",,,,
"6,06","23,07","0,7","1,9",,,,
"6,08","23,1","0,7","1,8",,,,
"6,1","23,13","0,7","1,9",,,,
"6,12","23,19","0,7","1,8",,,,
"6,14","23,26","0,7","1,8",,,,
"6,16","23,36","0,7","1,9",,,,
"6,18","23,46","0,7","1,9",,,,
"6,2","23,57","0,8","1,9",,,,
"6,22","23,7","0,8","1,9",,,,
"6,24","23,84","0,8","1,9",,,,
"6,26","23,97","0,8","1,9",,,,
"6,28","24,08","0,7","1,9",,,,
"6,3","24,16","0,7","1,9",,,,
"6,32","24,22","0,7","1,8",,,,
"6,34","24,27","0,7","1,9",,,,
"6,36","24,31","0,7","1,8",,,,
"6,38","24,37","0,7","1,8",,,,
"6,4","24,44","0,7","1,8",,,,
"6,42","24,52","0,7","1,9",,,,
"6,44","24,63","0,7","1,9",,,,
"6,46","24,74","0,7","1,9",,,,
"6,48","24,84","0,7","1,9",,,,
"6,5","24,93","0,7","1,9",,,,
"6,52",25,"0,7","1,9",,,,
"6,54","25,09","0,7","1,8",,,,
"6,56","25,16","0,7","1,8",,,,
"6,58","25,23","0,7","1,8",,,,
"6,6","25,3","0,7","1,8",,,,
"6,62","25,36","0,7","1,8",,,,
"6,64","25,43","0,7","1,9",,,,
"6,66","25,51","0,7","1,8",,,,
"6,68","25,6","0,7","1,8",,,,
"6,7","25,7","0,7","1,8",,,,
"6,72","25,8","0,7","1,8",,,,
"6,74","25,91","0,7","1,8",,,,
"6,76","26,02","0,7","1,8",,,,
"6,78","26,12","0,7","1,8",,,,
"6,8","26,22","0,7","1,8",,,,
"6,82","26,33","0,7","1,8",,,,
"6,84","26,42","0,7","1,8",,,,
"6,86","26,52","0,7","1,8",,,,
"6,88","26,62","0,7","1,8",,,,
"6,9","26,73","0,7","1,8",,,,
"6,92","26,82","0,7","1,9",,,,
"6,94","26,91","0,7","1,9",,,,
"6,96",27,"0,7","1,9",,,,
"6,98","27,06","0,7","1,9",,,,
7,"27,12","0,8","1,9",,,,
"7,02","27,18","0,8","1,9",,,,
"7,04","27,25","0,8","1,9",,,,
"7,06","27,31","0,8","1,9",,,,
"7,08","27,37","0,8","1,9",,,,
"7,1","27,43","0,8","1,9",,,,
