Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
"3,88","10,73","0,8","1,9",,,,
"3,9","10,78","0,8","1,9",,,,
"3,92","10,84","0,8","1,9",,,,
"3,94","10,9","0,8","1,9",,,,
"3,96","10,97","0,8","1,9",,,,
"3,98","11,03","0,8","1,9",,,,
4,"11,11","0,8","1,9",,,,
"4,02","11,18","0,8","1,9",,,,
"4,04","11,25","0,8","1,9",,,,
"4,06","11,32","0,8","1,9",,,,
"4,08","11,39","0,8","1,9",,,,
"4,1","11,46","0,8","1,9",,,,
"4,12","11,53","0,8","1,9",,,,
"4,14","11,59","0,8","1,9",,,,
"4,16","11,65","0,8","1,9",,,,
"4,18","11,7","0,8","1,9",,,,
"4,2","11,75","0,8","1,9",,,,
"4,22","11,8","0,8","1,9",,,,
"4,24","11,84","0,8","1,9",,,,
"4,26","11,89","0,8","1,9",,,,
"4,28","11,92","0,8","1,9",,,,
"4,3","11,96","0,8","1,9",,,,
"4,32","11,99","0,8","1,9",,,,
"4,34","12,03","0,8","1,9",,,,
"4,36","12,06","0,9","1,9",,,,
"4,38","12,09","0,8","1,9",,,,
"4,4","12,12","0,8","1,9",,,,
"4,42","12,16","0,8","1,9",,,,
"4,44","12,2","0,8","1,9",,,,
"4,46","12,24","0,8","1,9",,,,
"4,48","12,29","0,8","1,9",,,,
"4,5","12,34","0,8","1,9",,,,
"4,52","12,39","0,8","1,9",,,,
"4,54","12,44","0,8","1,9",,,,
"4,56","12,5","0,8","1,9",,,,
"4,58","12,55","0,8","1,9",,,,
"4,6","12,61","0,8","1,9",,,,
"4,62","12,67","0,8","1,9",,,,
"4,64","12,72","0,8","1,9",,,,
"4,66","12,77","0,8","1,9",,,,
"4,68","12,83","0,8","1,9",,,,
"4,7","12,88","0,8","1,9",,,,
"4,72","12,93","0,8","1,9",,,,
"4,74","12,98","0,8","1,9",,,,
"4,76","13,03","0,8","1,9",,,,
"4,78","13,08","0,8","1,9",,,,
"4,8","13,13","0,8","1,9",,,,
"4,82","13,18","0,8","1,9",,,,
